Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2023-09,4,1,S4B1,-0.019455695308287713,-0.020738695308287713,111
2023-09,4,2,S4B2,-0.008789278902389026,-0.010072278902389025,139
2023-09,4,3,S4B3,-0.00033371763127347374,-0.0016167176312734738,119
2023-09,4,4,S4B4,0.004857339724078862,0.003574339724078862,102
2023-09,4,5,S4B5,0.002427741109147186,0.0011447411091471858,153
2023-09,5,1,S5B1,-0.028583487254380962,-0.02986648725438096,162
2023-09,5,2,S5B2,-0.02261159623006477,-0.02389459623006477,94
2023-09,5,3,S5B3,-0.0038125149550463076,-0.0050955149550463074,82
2023-09,5,4,S5B4,-0.0021214811112420747,-0.0034044811112420746,104
2023-09,5,5,S5B5,0.013443781955034128,0.012160781955034129,182
2023-10,1,1,S1B1,0.0013544234809037847,7.14234809037846e-05,137
2023-10,1,2,S1B2,0.013531253011412172,0.012248253011412172,131
2023-10,1,3,S1B3,0.021216753869438373,0.019933753869438374,140
2023-10,1,4,S1B4,0.010392281864186068,0.009109281864186069,148
2023-10,1,5,S1B5,0.01558124843105848,0.01429824843105848,55
2023-10,2,1,S2B1,-0.001695447137326555,-0.002978447137326555,98
2023-10,2,2,S2B2,0.00776135810600593,0.00647835810600593,123
2023-10,2,3,S2B3,0.012703191080454644,0.011420191080454644,153
2023-10,2,4,S2B4,-0.014560341848303229,-0.01584334184830323,140
2023-10,2,5,S2B5,-0.010297403826595272,-0.011580403826595271,110
2023-10,3,1,S3B1,-0.010874284903045789,-0.012157284903045788,111
2023-10,3,2,S3B2,-0.006535961323463951,-0.007818961323463951,137
2023-10,3,3,S3B3,0.0008819089503117469,-0.0004010910496882532,127
2023-10,3,4,S3B4,-0.006606158525684179,-0.007889158525684179,128
2023-10,3,5,S3B5,-0.016617874150599787,-0.017900874150599787,120
2023-10,4,1,S4B1,-0.0018920634282486128,-0.003175063428248613,111
2023-10,4,2,S4B2,-0.024540062291754903,-0.025823062291754902,139
2023-10,4,3,S4B3,-0.032338281569334826,-0.033621281569334825,119
2023-10,4,4,S4B4,-0.02569054746492836,-0.02697354746492836,102
2023-10,4,5,S4B5,-0.033173426333762655,-0.034456426333762655,153
2023-10,5,1,S5B1,-0.02225843628882114,-0.02354143628882114,162
2023-10,5,2,S5B2,-0.025339524674622776,-0.026622524674622776,94
2023-10,5,3,S5B3,-0.028616506302762124,-0.029899506302762124,82
2023-10,5,4,S5B4,-0.05120822140049247,-0.05249122140049247,104
2023-10,5,5,S5B5,-0.038026435776939295,-0.039309435776939294,182
2023-11,1,1,S1B1,0.08804455806723262,0.08676155806723261,137
2023-11,1,2,S1B2,0.06705122835221972,0.06576822835221971,131
2023-11,1,3,S1B3,0.05589893910159532,0.05461593910159532,140
2023-11,1,4,S1B4,0.06483333128681601,0.063550331286816,148
2023-11,1,5,S1B5,0.05573300824282342,0.05445000824282342,55
2023-11,2,1,S2B1,0.043824287544580884,0.042541287544580884,98
2023-11,2,2,S2B2,0.05473025549474623,0.05344725549474623,123
2023-11,2,3,S2B3,0.06876828148374572,0.06748528148374572,153
2023-11,2,4,S2B4,0.0487386453209842,0.0474556453209842,140
2023-11,2,5,S2B5,0.03248650190616354,0.03120350190616354,110
2023-11,3,1,S3B1,0.045578846866497214,0.044295846866497214,111
2023-11,3,2,S3B2,0.037217747164116015,0.035934747164116015,137
2023-11,3,3,S3B3,0.05038803719472752,0.04910503719472752,127
2023-11,3,4,S3B4,0.02891966990349346,0.02763666990349346,128
2023-11,3,5,S3B5,0.01345474051907782,0.012171740519077821,120
2023-11,4,1,S4B1,0.010682183674925724,0.009399183674925725,111
2023-11,4,2,S4B2,0.00946444328194947,0.00818144328194947,139
2023-11,4,3,S4B3,0.0315652752064438,0.030282275206443804,119
2023-11,4,4,S4B4,0.008829968504929644,0.0075469685049296435,102
2023-11,4,5,S4B5,0.0017366551857818562,0.0004536551857818561,153
2023-11,5,1,S5B1,-0.012680069700324405,-0.013963069700324404,162
2023-11,5,2,S5B2,-0.013697243627595446,-0.014980243627595445,94
2023-11,5,3,S5B3,-0.008942757712168637,-0.010225757712168637,82
2023-11,5,4,S5B4,-0.0015942252545568338,-0.0028772252545568337,104
2023-11,5,5,S5B5,-0.008341523344750886,-0.009624523344750885,182
2023-12,1,1,S1B1,-0.007190775696874595,-0.008473775696874596,137
2023-12,1,2,S1B2,0.00603047692030445,0.0047474769203044494,131
2023-12,1,3,S1B3,0.0002759285003752507,-0.0010070714996247493,140
2023-12,1,4,S1B4,-0.002012340734035178,-0.003295340734035178,148
2023-12,1,5,S1B5,-0.00015208313094531138,-0.0014350831309453114,55
2023-12,2,1,S2B1,-0.010532511843505251,-0.01181551184350525,98
2023-12,2,2,S2B2,-0.019080454567164708,-0.020363454567164707,123
2023-12,2,3,S2B3,-0.014122775771045775,-0.015405775771045774,153
2023-12,2,4,S2B4,-0.0076395998039609225,-0.008922599803960922,140
2023-12,2,5,S2B5,-0.026788307220394547,-0.028071307220394547,110
2023-12,3,1,S3B1,-0.03327345001899489,-0.03455645001899489,111
2023-12,3,2,S3B2,-0.03140660959093307,-0.03268960959093307,137
2023-12,3,3,S3B3,-0.03650151488392469,-0.03778451488392469,127
2023-12,3,4,S3B4,-0.031612697506814606,-0.032895697506814606,128
