Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2018-03,0.06024249550507657,0.0315003194147214,0.0024078426830982888,0.026777823737359586,-0.005119181428172594,-0.04657659799339163,388,432,215,221,400,418
2018-04,-0.05303255016622712,-0.04543094396837801,-0.042855279043115105,-0.029636397220343155,-0.04067896099454065,-0.02708136852419586,392,429,219,219,400,419
2018-05,-0.014457124920380432,-0.003474225231043443,-0.015517464780052023,0.03466572275514657,0.029686362234630913,-0.007193732399117823,402,437,220,224,401,418
2018-06,-0.1333218218555406,-0.12590678835257135,-0.0984742527341492,-0.07156421425753776,-0.08338963062870301,-0.06654509554137836,403,441,220,223,404,415
2018-07,-0.005624243281672206,0.018811804298098655,0.020700848562028928,-0.029242889227024067,0.005789276784121131,0.03926910781161902,412,529,305,328,458,446
2018-08,-0.08699562642786346,-0.08102525596028856,-0.05621693502929401,-0.09573576710755187,-0.06959455368765118,-0.028320031975685098,413,528,305,329,465,447
2018-09,-0.022231019011105507,-0.006686590368667182,0.005637136942732615,0.01305594079242102,0.004231658785464412,0.04951702231470938,415,530,305,330,468,446
2018-10,-0.080458608375344,-0.09030144037844237,-0.09074027644394904,-0.15232054937350906,-0.10086805422824109,-0.049965001189765136,418,530,305,329,470,447
2018-11,0.06810245568851145,0.07392903246277568,0.0661946738379627,0.03833203005341884,0.024444870620335,-0.02110419541725538,418,533,305,335,472,449
2018-12,-0.03168989671365238,-0.04246743904346612,-0.04512445429345751,-0.0387367838725278,-0.03356731090299495,-0.04129357959487219,418,534,305,336,471,449
2019-01,-0.05399061623464163,-0.0118342630992611,0.0009345911848218867,0.05130684772324456,0.01630262394070327,0.04899770174966403,418,534,305,336,472,448
2019-02,0.22568848691579163,0.2289630516582446,0.20204528108234976,0.16921465908165423,0.18023784944508367,0.11512530372131842,418,534,305,336,472,448
2019-03,0.1240359638339905,0.10307047359328439,0.12372889189401172,0.10414705959168712,0.08505439470715842,0.02818215465172376,418,534,305,336,472,448
2019-04,-0.04802106371251782,-0.023278913327084837,-0.033788589488673866,-0.0013820881367357387,-0.027218927588932934,0.003825294090752211,418,534,305,336,471,448
2019-05,-0.045097161468817426,-0.04103784876968615,-0.04654806215333269,-0.05546531797200335,-0.060548080819843655,-0.0640524790357052,418,534,305,336,471,448
2019-06,-0.0018161975922651671,-0.011044949722980238,-0.007902855232572401,0.056524459561473964,0.023165876986497084,0.04098539054365059,418,534,305,335,471,448
2019-07,-0.02463169202996933,-0.02040868846477666,-0.025844942323638993,0.00781917416298293,0.0025671840268267263,-0.005478216690690744,468,589,339,370,528,498
2019-08,-0.006601684752104788,-0.020689966958530436,-0.03134955527172187,0.05923062193197687,-0.01697217972422688,-0.04380528431359551,468,589,339,369,528,498
2019-09,0.0320986784054667,0.010709176795473589,0.0022126788984170452,-0.001084638999088092,0.001708370676583126,0.012956480349634257,468,589,339,369,528,498
2019-10,-0.014337646937544647,-0.002891574168820384,-0.007750298894820706,0.02059984517929872,0.01159461433596177,0.011478237640323892,468,589,339,369,528,498
2019-11,-0.02863130780350753,-0.024417315606308995,-0.018169747659068945,-0.018589954752950142,-0.010430960656258603,-0.017196506455636078,467,589,339,369,528,498
2019-12,0.07840391389036772,0.08118098161739351,0.07877355508429984,0.05955057874642084,0.08692644146757504,0.06070488506043373,466,589,339,369,528,498
2020-01,0.005432459884638531,0.010196017054831816,0.0019141795785963117,0.017292782014615912,-0.011547631303598616,-0.03996187870523334,465,589,339,369,528,497
2020-02,0.007924906241172982,-0.007633967048951997,-0.01674264792837733,0.00842433981792453,-0.007552691769314013,-0.040780812135795035,463,589,339,369,528,497
2020-03,-0.04381639271989947,-0.036147532564720405,-0.021496542018102565,-0.05120649356408669,-0.07028362124786204,-0.051168805718797866,463,589,339,369,528,497
2020-04,0.0188214905837574,0.01867146988378251,0.01068761739294088,0.08572218409869713,0.04800979782613586,0.025100335556528554,462,589,339,369,527,497
