form_year,Stkcd,size_june,size_dec_prev,book_equity,be_me,size2,bm3,leg_2x3,size5,bm5
1995,000508,1076085.0,1476388.62,1113223457.71,754.0179073650676,2,3,BH,4,5
1995,000509,386029.29,508619.67,345831013.91,679.9403057101587,1,3,SH,1,5
1995,000510,406031.18,410153.33,283191735.19,690.453336536363,1,3,SH,1,5
1995,000511,336608.13,415619.04,306516822.92,737.4946607835869,1,3,SH,1,5
1995,000513,497007.55,606935.95,618262371.64,1018.6616423693473,1,3,SH,1,5
1995,000514,350820.29,391508.21,147431663.74,376.57361959280496,1,2,SM,1,2
1995,000515,469318.77,416016.64,163722798.25,393.54867692311535,1,2,SM,1,2
1995,000516,355580.55,395596.03,138041874.75,348.9465623555423,1,2,SM,1,2
1995,000517,333050.08,392125.8,179578072.32,457.9603594560725,1,2,SM,1,3
1995,000518,333140.16,414601.44,226784000.66,546.9927954422927,1,2,SM,1,4
1995,000519,244258.9,313239.38,122464990.39,390.96294466551427,1,2,SM,1,2
1995,000520,813943.62,809602.59,459861060.56,568.0083861391797,2,2,BM,3,4
1995,000521,916621.2,994831.2,457048585.33,459.42325223615825,2,2,BM,3,3
1995,000522,816751.32,1238400.0,691967669.71,558.7594232154393,2,2,BM,3,4
1995,000523,522988.92,614847.91,317665263.7,516.6566536755406,1,2,SM,2,4
1995,000524,641479.32,621185.61,434140722.65,698.890501745525,1,3,SH,2,5
1995,000525,257489.94,268006.66,122130481.94,455.699429036577,1,2,SM,1,3
1995,000526,399853.71,479104.0,109844776.19,229.27125674175127,1,1,SL,1,1
1995,000527,828828.0,1058349.6,669528186.02,632.6153343091922,2,3,BH,3,4
1995,000528,762106.17,932072.29,589006446.0,631.9321498121138,2,3,BH,3,4
1995,000529,1034607.13,1176699.46,891944305.49,758.0051965775526,2,3,BH,4,5
1995,000530,542342.25,453157.08,282761645.29,623.9815237797895,1,3,SH,2,4
1995,000531,594583.58,559065.6,274170049.87,490.4076549692916,1,2,SM,2,3
1995,000532,670464.05,880120.57,656899109.12,746.3739986442994,1,3,SH,2,5
1995,000533,1329820.8,1790364.8,1125278598.0,628.5191699479346,2,3,BH,4,4
1995,000534,485369.38,647058.08,538068359.64,831.5611477102643,1,3,SH,1,5
1995,000535,746717.28,1020911.88,375382963.0,367.69379449282144,2,2,BM,3,2
1995,000536,548672.37,555988.0,197338644.75,354.9332804844709,1,2,SM,2,2
1995,000537,409773.81,507733.21,277960225.23,547.453307673138,1,2,SM,1,4
1995,000538,507760.0,442640.0,184000616.22,415.68908417675766,1,2,SM,1,3
1995,000539,2797754.0,3523000.5,2744736834.0,779.0906739865634,2,3,BH,5,5
1995,000540,403931.55,410353.36,163409948.0,398.21764344758867,1,2,SM,1,2
1995,000541,1203833.24,1171440.6,663397327.23,566.3089765114851,2,2,BM,4,4
1995,000542,728376.0,808832.0,345031497.06,426.5799289098354,1,2,SM,3,3
1995,000543,2175600.0,2436450.0,1325011457.78,543.8287088920355,2,2,BM,5,4
1995,000544,537285.0,731850.0,362857207.31,495.8081673976908,1,2,SM,2,3
1995,000545,379780.3,410911.2,263967204.18,642.3947660224399,1,3,SH,1,5
1995,000546,411893.55,471527.97,258640031.02,548.5147169954733,1,2,SM,1,4
1995,000547,415116.0,356999.76,107508923.78,301.14564721276,1,1,SL,1,2
1995,000548,571987.05,800338.47,432252879.1,540.0875945648346,1,2,SM,2,4
1995,000549,247520.0,276692.0,178316474.62,644.4583674988796,1,3,SH,1,5
1995,000550,1277266.44,1609563.4,1017574402.6,632.2052319281117,2,3,BH,4,4
1995,000551,325620.0,392850.0,228566692.58,581.8167050528192,1,3,SH,1,4
1995,000552,393470.0,428505.0,272687485.09,636.3694358058832,1,3,SH,1,4
1995,000553,454812.12,413776.44,242296551.0,585.5735792980383,1,3,SH,1,4
1995,000554,725005.8,734333.36,632341365.56,861.1094088929856,1,3,SH,3,5
1995,000555,345907.92,383846.21,144871620.0,377.4209988943228,1,2,SM,1,2
1995,000556,501600.0,602400.0,291802345.85,484.3996445053121,1,2,SM,1,3
1995,000557,453620.0,373700.0,209434358.87,560.4344631255018,1,2,SM,1,4
1995,000558,419680.0,430000.0,206539734.94,480.3249649767442,1,2,SM,1,3
1995,000559,521569.25,549360.0,244610852.67,445.2651315530799,1,2,SM,2,3
1995,000560,385200.0,474000.0,245072480.8,517.0305502109705,1,2,SM,1,4
1995,000561,670918.39,684802.05,452351444.0,660.5579583180278,1,3,SH,2,5
1995,000562,910000.0,1051750.0,369863723.92,351.6650572094129,2,2,BM,3,2
1995,000563,888444.54,859563.21,223651070.97,260.1915349192295,2,1,BL,3,1
1995,000564,354585.16,418092.95,252993729.17,605.1135977538008,1,3,SH,1,4
1995,000565,326690.8,360486.4,132891380.39,368.64464343176326,1,2,SM,1,2
1995,000566,591375.0,763800.0,465349276.22,609.2554022257136,1,3,SH,2,4
1995,000567,394800.0,494760.0,257296944.34,520.0439492683321,1,2,SM,1,4
