Trdmnt,size_tercile,beta_smb_bin,portfolio,vw_return,n_stocks
2017-06,3,2,SZ3_BSMB2,0.038368313651275285,171
2017-06,3,3,SZ3_BSMB3,0.04572434194461053,94
2017-07,1,1,SZ1_BSMB1,0.008348488234620666,90
2017-07,1,2,SZ1_BSMB2,0.005613623314954779,190
2017-07,1,3,SZ1_BSMB3,0.00706796998861061,361
2017-07,2,1,SZ2_BSMB1,0.0020313572637856683,211
2017-07,2,2,SZ2_BSMB2,0.030208020742563617,282
2017-07,2,3,SZ2_BSMB3,0.03544878586839629,196
2017-07,3,1,SZ3_BSMB1,0.034899879730495166,372
2017-07,3,2,SZ3_BSMB2,0.04865831422733524,199
2017-07,3,3,SZ3_BSMB3,0.03384328770411491,115
2017-08,1,1,SZ1_BSMB1,0.03372104876446315,87
2017-08,1,2,SZ1_BSMB2,0.024511531032570606,189
2017-08,1,3,SZ1_BSMB3,0.025774029167881084,353
2017-08,2,1,SZ2_BSMB1,0.024244874187421803,209
2017-08,2,2,SZ2_BSMB2,0.028448619929845567,280
2017-08,2,3,SZ2_BSMB3,0.026225561315340346,192
2017-08,3,1,SZ3_BSMB1,0.024219011770749296,368
2017-08,3,2,SZ3_BSMB2,0.013221429172952236,199
2017-08,3,3,SZ3_BSMB3,0.032450709629320125,107
2017-09,1,1,SZ1_BSMB1,0.018714195039809096,87
2017-09,1,2,SZ1_BSMB2,0.015341344817656788,189
2017-09,1,3,SZ1_BSMB3,0.004489935330201763,353
2017-09,2,1,SZ2_BSMB1,0.016879505537803,211
2017-09,2,2,SZ2_BSMB2,0.009823740427151275,279
2017-09,2,3,SZ2_BSMB3,0.020656457951772903,194
2017-09,3,1,SZ3_BSMB1,0.01072411061847996,371
2017-09,3,2,SZ3_BSMB2,0.0012304737653426442,200
2017-09,3,3,SZ3_BSMB3,-0.006929726905630804,108
2017-10,1,1,SZ1_BSMB1,-0.026028969674846858,89
2017-10,1,2,SZ1_BSMB2,-0.032571924226254496,187
2017-10,1,3,SZ1_BSMB3,-0.033563452905543675,349
2017-10,2,1,SZ2_BSMB1,-0.0283773530833338,210
2017-10,2,2,SZ2_BSMB2,-0.023573653136218592,278
2017-10,2,3,SZ2_BSMB3,-0.03434271434668955,193
2017-10,3,1,SZ3_BSMB1,0.037381938155554545,370
2017-10,3,2,SZ3_BSMB2,0.008805415119665459,199
2017-10,3,3,SZ3_BSMB3,-0.012898563379437667,107
2017-11,1,1,SZ1_BSMB1,-0.073717173086264,89
2017-11,1,2,SZ1_BSMB2,-0.07936154934372479,189
2017-11,1,3,SZ1_BSMB3,-0.016629753885747316,346
2017-11,2,1,SZ2_BSMB1,-0.06154633852988225,211
2017-11,2,2,SZ2_BSMB2,-0.046573745491526604,276
2017-11,2,3,SZ2_BSMB3,-0.053559305288379676,192
2017-11,3,1,SZ3_BSMB1,-0.011160850230648887,369
2017-11,3,2,SZ3_BSMB2,-0.020134934824102564,196
2017-11,3,3,SZ3_BSMB3,-0.04599572135845842,108
