Trdmnt,RF,RM,MKT_RF,SMB,HML_EP,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2013-04,0.0024660000000000003,-0.024733,-0.027199,-0.012099179967797379,0.005869799219419068,-0.0406437419693169,-0.03593337447551492,-0.024890535078157732,-0.019355480043256476,-0.022445543080763443,-0.02336908849557751,357,374,160,173,343,380
2013-05,0.0024660000000000003,0.078611,0.076145,0.04775657585850797,-0.05097405877483763,0.14610576219053553,0.1630934628231638,0.1195757645157722,0.11930106022632153,0.12232126137621649,0.04388294035140963,358,373,160,173,344,381
2013-06,0.0024660000000000003,-0.135136,-0.137602,-0.026267970465052498,0.019361560179190968,-0.16650238552043758,-0.16024726881251292,-0.16637556380274585,-0.16321170354297554,-0.12649419829527794,-0.12461540490228538,349,372,160,171,340,378
2013-07,0.0024660000000000003,0.026806,0.02434,0.039885773538219024,-0.02146370696537756,0.06894524408973486,0.08853715430176991,0.05748656230036029,0.03805850468776297,0.050663362843062595,0.006589772546382414,388,367,161,161,368,389
2013-08,0.0024660000000000003,0.055356,0.05289,0.04428459858016163,0.003361762567544918,0.09334447631411291,0.08453244364731434,0.11782877234192889,0.06502672289532277,0.050559221664951866,0.047265952002596624,380,364,160,160,367,390
2013-09,0.0024660000000000003,0.042144,0.039678,0.0004459647152404156,0.0006002373159249841,0.03676843213147848,0.04971130427541322,0.03765298358339049,0.033342966091949935,0.05579297048072312,0.03365888927188789,377,364,159,159,362,389
2013-10,0.0024660000000000003,-0.018887,-0.021353,0.013530234054746845,0.021173637229870517,-0.017443456923968696,-0.02162840294850614,-0.005281398747710588,-0.03382932148180425,-0.047470534104300376,-0.0036441051983213254,373,366,159,160,364,386
2013-11,0.0024660000000000003,0.042243,0.039777,0.03517511509928052,-0.02259328841746743,0.08005285160633717,0.09971074775932079,0.07661061075546935,0.06467281059903658,0.06324757960927964,0.022928474614969538,372,364,158,159,363,388
2013-12,0.0024660000000000003,-0.04096,-0.043426000000000006,0.011642748259255414,0.019159943249694625,-0.048077631286747045,-0.024226873073618056,-0.01696944353795632,-0.05195782669781098,-0.027498238031064215,-0.04474612794721246,373,364,158,161,365,388
2014-01,0.0024660000000000003,-0.026771,-0.029237,0.04716721076744099,-0.015677070388467454,0.015853514774153345,0.03394231263643557,0.01874226962318399,-0.008395031370886926,-0.02193057690081064,-0.04263792699685248,372,367,159,160,364,387
2014-02,0.0024660000000000003,0.014056,0.01159,0.04424477925596179,-0.02027940642634221,0.06411308774393494,0.0514257185008683,0.06025941758054847,0.041375241363741495,-0.002981453980718708,0.004670098674443548,371,362,160,159,364,388
