form_year,Stkcd,size_june,size_dec_prev,earnings,ep,size2,ep3,leg_2x3,size5,ep5
1995,600849,590099.99,666036.23,20599930.0,30.929143299006423,1,1,SL,2,2
1995,600850,496000.0,515000.0,7495220.0,14.553825242718446,1,1,SL,2,1
1995,600851,1272145.85,1591465.76,73784520.0,46.362618571196904,2,2,BM,4,3
1995,600852,881600.0,844000.0,39520250.0,46.82494075829384,2,2,BM,3,3
1995,600853,1316480.0,1430000.0,145250000.0,101.57342657342657,2,3,BH,5,5
1995,600854,1434000.0,1699200.0,195722000.0,115.18479284369114,2,3,BH,5,5
1995,600855,472236.0,502651.2,8263000.0,16.438834722766003,1,1,SL,2,1
1995,600856,390720.0,369630.0,26329000.0,71.23069014960907,1,2,SM,1,4
1995,600857,518415.0,379850.0,18731610.0,49.31317625378439,1,2,SM,2,3
1995,600858,555919.66,551576.0,15575000.0,28.23726920678202,1,1,SL,2,1
1995,600859,952087.5,1071476.25,81805000.0,76.347935850188,2,3,BH,4,4
1995,600860,1044000.0,1149000.0,102603000.0,89.2976501305483,2,3,BH,4,5
1995,600861,950000.0,1026000.0,84513000.0,82.37134502923976,2,3,BH,4,4
1995,600862,301745.14,327148.74,23055924.4,70.47535747806945,1,2,SM,1,4
1995,600863,1924040.0,1746880.0,71116000.0,40.71029492581059,2,2,BM,5,2
1995,600864,593124.8,550019.8,15410000.0,28.01717319994662,1,1,SL,2,1
1995,600865,730023.84,612284.4,48216410.0,78.74838882061995,1,3,SH,3,4
1995,600866,588481.68,487692.0,25199920.0,51.671792852866155,1,2,SM,2,3
1995,600867,739584.0,917568.0,48401743.74,52.750034591441725,2,2,BM,3,3
1995,600868,751161.6,745752.0,48518718.11,65.0601246929274,2,2,BM,3,4
1995,601607,590099.99,666036.23,20599930.0,30.929143299006423,1,1,SL,2,2
1996,000001,15839185.99,3326125.61,435129069.51,130.82159861966247,2,3,BH,5,5
1996,000002,1379350.81,781482.85,147452376.33,188.6828051696848,2,3,BH,4,5
1996,000003,1017347.37,842389.54,43500050.76,51.63887808958311,2,2,BM,3,3
1996,000005,1078770.0,739200.0,59221783.2,80.11604870129871,2,3,BH,3,4
1996,000006,847625.46,515356.28,45339928.62,87.97783277231044,1,3,SH,3,5
1996,000007,302651.27,235640.89,5633682.62,23.90791606668944,1,1,SL,1,2
1996,000008,367132.91,263451.86,168826.45,0.6408246652728131,1,1,SL,1,1
1996,000009,4136580.37,2282706.11,152527477.52,66.81870997401414,2,3,BH,5,4
1996,000010,312104.98,301108.0,11397659.34,37.852396283061225,1,2,SM,1,2
1996,000011,2589468.54,1222683.29,214986956.06,175.83208817714356,2,3,BH,5,5
1996,000012,2223501.32,1030658.26,134672207.11,130.66620851609923,2,3,BH,5,5
1996,000013,1204147.66,974141.92,48667774.1,49.95963432104431,2,2,BM,4,3
1996,000014,426718.53,303902.48,14009405.53,46.09835869059048,1,2,SM,1,3
1996,000016,2747771.26,1168900.92,265060531.9,226.76047846724256,2,3,BH,5,5
1996,000017,1236338.77,860323.33,51251977.3,59.572925100148105,2,2,BM,4,4
1996,000018,587192.08,488851.66,12756929.43,26.095706476684565,1,1,SL,2,2
1996,000019,624372.57,474429.44,3619429.55,7.629015497014687,1,1,SL,2,1
1996,000020,798147.19,499774.44,54722015.0,109.49342467373882,1,3,SH,3,5
