Trdmnt,model,coefficient,lambda,n_stocks
1994-10,M6_ln_size_ln_be_me,ln_be_me,-0.0152517203,180
1994-10,M7_all3,intercept,0.1801189125,31
1994-10,M7_all3,beta,0.0093134391,31
1994-10,M7_all3,ln_size,-0.0339978248,31
1994-10,M7_all3,ln_be_me,0.0102411361,31
1994-11,M1_beta,intercept,0.0057491098,31
1994-11,M1_beta,beta,0.0132957655,31
1994-11,M2_ln_size,intercept,-0.1253172403,270
1994-11,M2_ln_size,ln_size,0.0108246790,270
1994-11,M3_ln_be_me,intercept,0.3077898274,180
1994-11,M3_ln_be_me,ln_be_me,-0.0471791467,180
1994-11,M4_beta_ln_size,intercept,0.0879416269,31
1994-11,M4_beta_ln_size,beta,0.0124946307,31
1994-11,M4_beta_ln_size,ln_size,-0.0060831642,31
1994-11,M5_beta_ln_be_me,intercept,0.5456772117,31
1994-11,M5_beta_ln_be_me,beta,0.0181917084,31
1994-11,M5_beta_ln_be_me,ln_be_me,-0.0888653453,31
1994-11,M6_ln_size_ln_be_me,intercept,0.1977032301,180
1994-11,M6_ln_size_ln_be_me,ln_size,0.0078263662,180
1994-11,M6_ln_size_ln_be_me,ln_be_me,-0.0463410167,180
1994-11,M7_all3,intercept,0.5326339611,31
1994-11,M7_all3,beta,0.0183308990,31
1994-11,M7_all3,ln_size,0.0010127757,31
1994-11,M7_all3,ln_be_me,-0.0889708200,31
1994-12,M1_beta,intercept,-0.0705925139,31
1994-12,M1_beta,beta,0.0071199495,31
1994-12,M2_ln_size,intercept,0.0300624657,270
1994-12,M2_ln_size,ln_size,-0.0065331288,270
1994-12,M3_ln_be_me,intercept,-0.0327023542,180
1994-12,M3_ln_be_me,ln_be_me,-0.0036626497,180
1994-12,M4_beta_ln_size,intercept,-0.0656548609,31
1994-12,M4_beta_ln_size,beta,0.0070718219,31
1994-12,M4_beta_ln_size,ln_size,-0.0003654415,31
1994-12,M5_beta_ln_be_me,intercept,-0.1352719041,31
1994-12,M5_beta_ln_be_me,beta,0.0065334517,31
1994-12,M5_beta_ln_be_me,ln_be_me,0.0106454106,31
1994-12,M6_ln_size_ln_be_me,intercept,0.0668909615,180
1994-12,M6_ln_size_ln_be_me,ln_size,-0.0070803693,180
1994-12,M6_ln_size_ln_be_me,ln_be_me,-0.0044208905,180
1994-12,M7_all3,intercept,-0.1195000256,31
1994-12,M7_all3,beta,0.0063651427,31
1994-12,M7_all3,ln_size,-0.0012246469,31
1994-12,M7_all3,ln_be_me,0.0107729504,31
1995-01,M1_beta,intercept,-0.1008822070,31
1995-01,M1_beta,beta,-0.0150907877,31
1995-01,M2_ln_size,intercept,-0.3167512454,270
1995-01,M2_ln_size,ln_size,0.0136050461,270
1995-01,M3_ln_be_me,intercept,-0.1781344781,180
1995-01,M3_ln_be_me,ln_be_me,0.0067596261,180
1995-01,M4_beta_ln_size,intercept,-0.4721160298,31
1995-01,M4_beta_ln_size,beta,-0.0114723520,31
1995-01,M4_beta_ln_size,ln_size,0.0274754488,31
